client_id,clnt_tenure_yr,clnt_age,gendr,Variation
555,3,30,U,Test
647,12,58,M,Test
934,9,51,F,Test
1028,12,36,M,Control
1104,5,48,U,Control
1186,8,22,U,Control
1195,21,55,M,Control
1197,7,29,U,Control
1336,48,42,M,Test
1346,14,46,F,Test
1368,5,45,F,Control
1516,12,59,F,Test
1643,19,55,M,Test
1702,21,63,U,Test
1755,9,47,M,Test
1836,13,52,M,Test
1936,5,27,M,Test
2439,11,56,M,Control
2581,4,22,M,Control
2720,9,25,M,Test
3232,9,52,F,Test
3572,15,55,M,Test
3647,15,63,F,Control
3743,6,30,U,Control
4369,14,71,F,Test
4484,16,49,M,Test
4603,12,39,F,Test
4717,7,58,U,Test
4870,21,27,M,Test
5354,4,51,U,Control
5845,23,76,F,Test
6022,7,30,U,Test
6150,27,67,F,Test
6642,12,36,M,Control
6904,12,65,M,Test
6977,4,53,U,Control
6985,7,62,U,Control
7020,16,42,F,Control
7561,11,33,M,Test
7563,8,30,M,Test
7567,21,33,F,Control
7657,18,42,M,Test
7723,30,55,M,Test
7934,20,44,F,Test
8023,21,50,F,Test
8039,18,58,U,Control
8055,22,56,M,Test
8101,11,71,M,Control
8124,14,42,M,Control
8610,8,27,U,Test
8712,9,38,U,Test
8820,4,26,U,Test
9229,8,42,M,Control
9751,5,36,M,Test
9767,6,34,M,Control
9845,5,25,F,Control
9916,17,41,M,Test
10344,17,82,M,Control
10363,6,26,U,Test
11040,5,32,U,Test
11054,4,60,M,Control
11070,14,54,M,Control
11122,16,41,M,Control
11309,10,47,F,Test
11880,5,27,U,Test
12045,12,37,F,Control
12785,15,52,F,Test
13009,10,64,U,Control
13735,11,28,M,Test
13831,16,42,F,Control
14690,6,43,M,Test
14775,15,28,F,Control
15050,26,53,F,Test
15189,5,20,U,Test
15753,6,58,M,Test
15807,4,27,F,Test
16095,6,30,U,Control
16098,6,37,U,Test
16135,14,64,F,Control
16202,7,36,U,Control
16295,23,55,F,Test
16549,24,56,F,Control
16679,7,40,U,Control
16744,18,62,F,Control
16747,13,32,F,Control
16881,5,55,U,Test
17008,25,56,M,Control
17036,5,35,U,Control
17160,14,54,F,Control
17170,15,63,M,Test
17318,16,69,M,Test
17404,5,38,U,Test
18549,22,43,M,Test
18660,18,45,M,Control
18973,13,54,M,Control
19060,9,55,M,Test
19613,7,26,U,Control
19782,6,62,U,Control
19813,14,65,F,Control
19832,14,64,F,Control
20091,5,21,U,Control
20185,15,61,F,Test
20537,9,75,F,Control
20564,10,56,M,Test
20643,9,35,M,Test
20668,28,68,F,Test
20898,4,27,U,Control
21200,5,61,U,Test
21242,13,31,F,Control
21281,12,64,M,Test
21353,21,78,F,Control
21403,11,41,F,Test
21498,16,71,F,Control
21522,4,65,F,Test
21596,11,43,U,Test
21719,5,27,M,Control
21940,12,44,M,Control
21970,5,23,U,Control
22007,10,76,F,Test
22793,16,55,M,Test
22885,5,32,F,Control
23276,13,68,M,Control
23864,16,48,M,Control
23914,7,25,U,Test
24079,10,30,F,Control
24443,10,49,M,Test
24572,6,24,F,Test
24703,5,31,F,Test
24710,21,49,F,Control
24841,14,71,M,Test
25022,8,27,U,Test
25026,10,63,M,Test
25043,25,60,F,Control
25766,15,34,F,Control
26036,12,29,M,Test
26070,10,24,M,Test
26105,5,33,U,Test
26211,15,42,F,Control
26286,12,71,F,Control
26696,29,59,M,Test
27021,9,35,M,Control
27075,20,54,M,Test
27241,8,35,U,Control
27554,16,36,M,Control
27764,4,23,U,Test
27907,4,53,U,Test
27988,28,60,F,Control
28241,6,49,M,Test
28371,11,35,M,Test
28542,16,55,M,Control
28705,15,53,F,Control
28845,12,34,M,Control
28857,14,52,M,Control
29227,15,70,F,Test
29527,10,52,F,Test
29595,5,37,U,Control
30318,4,55,U,Test
30462,15,66,M,Test
30493,15,50,F,Test
31191,15,20,M,Control
31264,14,37,M,Control
31336,10,29,M,Test
31404,22,55,U,Test
31499,20,66,M,Test
31502,7,48,U,Control
31597,6,68,U,Test
31715,7,33,U,Control
31766,14,19,F,Test
32197,15,43,M,Control
32305,7,69,F,Control
32471,12,57,F,Test
32521,14,58,F,Test
32746,14,41,F,Test
32859,4,66,U,Control
33190,14,44,F,Control
33265,18,43,U,Test
33463,4,34,U,Control
33472,5,43,U,Test
33752,8,52,F,Test
34067,21,66,M,Control
34101,16,52,F,Test
34267,21,75,M,Control
34501,11,40,F,Control
34603,16,41,M,Control
34608,17,40,F,Test
34631,12,52,M,Control
35010,8,47,U,Test
35087,13,22,M,Control
35091,7,24,U,Test
35138,24,82,F,Test
35181,15,49,M,Test
35257,7,33,U,Control
35346,7,33,U,Control
35417,19,27,F,Control
35476,20,31,M,Test
35922,4,45,U,Test
36109,21,72,M,Control
36342,18,50,M,Test
36363,6,30,U,Test
36430,6,58,F,Test
36432,29,59,F,Test
36555,15,70,M,Test
36986,26,78,M,Test
37064,5,33,U,Control
37295,7,32,U,Control
37408,6,47,U,Control
37423,17,49,U,Test
37667,10,32,F,Test
37691,20,30,M,Test
37705,7,25,U,Test
37897,13,62,F,Test
38275,5,57,U,Test
38283,7,56,U,Test
38340,6,39,U,Test
38551,20,65,M,Test
38685,20,53,F,Control
38714,10,60,M,Control
38775,23,43,F,Test
38930,22,26,F,Control
38963,20,46,M,Control
39004,19,48,M,Test
39075,14,63,F,Control
39566,8,33,M,Test
39968,4,50,F,Control
40283,14,43,F,Test
40439,7,36,M,Test
40969,7,49,U,Test
41122,4,27,U,Test
41142,6,38,U,Test
41199,6,55,M,Test
41237,5,49,U,Test
41516,8,55,F,Control
41652,7,55,U,Control
41924,21,52,M,Test
42082,16,36,F,Control
42296,28,81,M,Control
42349,17,24,U,Test
42725,4,24,U,Test
43494,22,62,F,Control
43645,15,82,F,Test
43766,11,44,M,Control
44060,5,45,U,Control
44216,16,44,M,Control
44705,15,55,M,Test
44860,4,32,U,Control
44932,12,30,M,Test
44995,11,75,M,Test
45131,5,76,U,Test
45232,4,64,U,Test
45485,21,68,M,Test
45510,7,32,U,Test
46223,9,67,M,Control
46790,5,34,U,Test
46934,14,36,F,Test
47402,7,27,U,Control
47571,5,26,U,Control
47860,11,37,F,Test
47933,13,50,F,Control
48241,21,58,M,Control
48424,23,42,M,Control
48431,12,55,F,Control
48448,8,68,M,Test
48724,4,39,U,Test
49412,11,52,M,Control
49450,22,63,U,Control
49709,4,68,M,Test
49998,11,32,M,Test
50053,5,57,U,Test
50090,13,55,M,Test
50185,5,45,U,Control
50271,6,36,U,Control
50325,15,62,F,Test
50599,11,36,M,Test
50643,11,53,F,Control
50692,5,54,U,Control
51493,8,23,F,Test
51526,26,44,M,Test
51706,6,23,M,Control
51814,24,61,F,Control
51902,14,41,M,Control
52111,8,46,M,Control
52309,7,57,M,Test
52384,18,62,F,Control
52456,5,56,U,Control
52461,12,46,F,Control
52743,6,55,U,Test
52765,8,27,U,Control
53094,7,30,U,Control
53123,23,55,M,Control
53126,6,38,U,Control
53169,11,44,F,Control
53396,21,51,M,Test
53990,9,66,M,Control
54231,14,54,F,Test
54291,14,55,M,Control
54363,16,87,F,Control
54477,11,34,F,Control
54893,10,37,M,Test
55059,21,55,F,Test
55265,11,30,F,Test
55333,30,28,M,Test
55448,9,59,F,Control
55951,5,47,U,Test
56294,7,27,F,Test
56529,14,38,M,Control
56570,14,49,M,Test
56782,10,45,M,Control
56923,23,41,F,Test
58001,17,65,M,Control
58194,9,46,F,Test
58196,7,46,U,Control
58456,15,61,U,Control
58589,9,41,U,Control
58676,4,52,F,Control
58867,9,51,M,Test
58917,14,73,M,Control
58962,5,54,F,Test
59089,7,61,U,Control
59152,16,46,U,Test
59360,17,40,M,Test
59605,15,59,F,Control
59782,6,66,U,Control
59802,14,39,M,Test
59860,8,52,F,Control
60101,6,44,U,Test
60483,43,53,M,Test
60802,32,55,F,Test
60958,5,24,M,Test
61007,16,53,F,Test
61487,12,27,F,Test
61650,10,50,M,Test
61961,5,74,M,Test
62058,4,42,U,Control
62284,8,65,F,Test
62498,26,66,F,Control
62503,7,37,U,Control
62754,23,65,F,Test
62791,8,63,U,Test
62805,13,44,F,Test
62837,14,31,M,Control
63001,23,28,M,Control
63377,5,27,U,Control
63507,27,32,M,Test
63796,15,80,F,Test
63879,15,37,F,Test
63955,14,19,M,Test
64020,15,47,F,Control
64058,26,63,M,Test
64635,28,70,M,Test
64871,15,47,M,Control
64885,17,61,F,Test
64964,28,65,F,Control
65221,13,52,F,Test
65716,12,45,F,Control
65845,9,62,M,Control
66160,5,25,U,Test
66169,14,46,M,Control
66539,21,32,M,Test
66543,22,65,F,Control
66930,5,63,U,Test
67390,11,30,F,Test
67452,24,76,U,Test
67845,30,85,F,Test
67925,16,48,F,Test
68116,4,35,F,Control
68170,24,60,F,Control
68276,19,60,M,Test
68830,13,33,M,Control
68854,9,52,M,Control
68884,29,80,F,Test
68886,16,52,F,Test
68963,31,57,M,Control
69255,10,59,F,Control
69568,11,26,F,Test
69591,21,28,F,Test
69598,8,58,F,Control
70225,10,34,F,Control
70576,22,43,F,Test
70863,12,85,F,Test
71159,5,29,F,Test
71296,30,73,F,Control
71476,4,53,U,Control
71626,14,78,F,Control
72074,22,51,F,Test
72221,11,51,M,Control
72388,5,54,U,Test
72395,18,48,M,Test
72915,5,40,M,Test
72916,4,35,U,Test
72988,10,21,M,Test
73331,14,51,F,Control
73335,12,37,M,Control
73453,16,57,M,Control
73615,10,41,M,Test
73648,14,54,M,Test
73910,10,28,M,Control
74169,4,36,U,Control
74564,4,58,U,Test
74844,6,60,U,Test
74976,10,48,M,Test
75033,10,70,M,Test
75381,14,25,M,Control
75490,8,25,M,Test
75642,18,78,M,Control
76424,7,70,U,Control
76429,18,29,M,Test
76481,6,63,U,Test
76635,10,24,M,Test
76775,16,67,M,Test
76776,27,63,M,Control
77071,5,47,U,Control
77276,4,19,U,Test
77513,11,34,F,Test
77651,34,70,F,Test
77933,5,40,U,Test
78720,5,32,U,Test
78728,6,34,U,Control
78779,14,64,F,Test
78917,24,68,M,Control
79127,27,65,F,Control
79229,15,42,F,Control
79452,10,46,F,Test
79571,10,53,F,Control
79669,15,61,M,Test
79679,14,58,F,Control
79819,14,42,M,Control
79897,7,55,U,Test
80006,29,72,M,Test
80126,6,64,U,Test
80127,15,46,M,Control
80241,13,65,F,Control
80275,21,63,M,Test
80479,20,65,M,Test
80559,15,52,F,Control
80801,13,36,M,Test
80915,9,48,M,Control
81102,34,59,M,Control
81119,4,31,U,Test
81303,8,55,M,Test
81601,4,33,U,Control
81720,10,68,F,Test
81816,8,51,U,Control
81976,24,53,F,Control
82206,24,50,F,Test
82376,11,32,M,Control
82560,21,63,F,Test
82566,12,75,M,Control
82712,22,59,F,Control
82723,4,35,U,Control
82772,6,47,U,Test
82869,8,28,U,Control
83158,16,55,F,Control
83447,17,49,M,Control
83507,8,26,U,Test
83585,5,34,U,Test
83683,5,31,U,Control
83795,15,72,F,Test
84108,6,60,U,Control
84464,8,42,U,Test
84480,12,59,F,Control
84596,21,44,F,Test
84624,20,47,U,Control
84658,4,41,M,Test
84976,6,39,U,Test
85097,11,65,M,Control
85286,25,22,M,Control
85515,28,75,F,Control
85793,6,64,U,Control
86035,22,55,F,Test
86499,5,22,U,Control
86616,5,31,U,Control
86699,23,28,M,Control
86780,30,61,M,Test
86877,4,28,U,Test
87162,26,64,M,Control
87218,5,28,U,Control
87300,5,28,U,Control
87424,14,30,F,Test
87449,9,29,M,Test
87915,26,21,F,Test
88378,3,61,U,Control
88723,3,67,F,Control
88759,23,74,M,Control
88986,6,45,U,Test
89039,18,71,F,Test
89052,15,50,M,Control
89108,15,45,F,Control
89116,18,24,M,Control
89257,7,49,U,Test
89604,6,33,U,Test
89645,12,32,F,Control
89693,11,36,M,Test
89812,16,49,M,Test
89959,10,39,F,Test
90324,14,45,F,Test
90360,12,33,F,Test
90383,21,22,F,Test
90596,4,48,F,Control
91110,5,70,U,Test
91254,11,33,M,Test
91443,13,36,U,Test
91633,13,67,F,Test
92066,16,39,F,Test
92137,6,25,U,Test
92665,5,35,U,Test
92808,5,47,U,Control
92864,4,28,U,Test
93127,8,44,U,Control
93137,27,68,M,Test
93370,13,34,M,Test
93480,25,65,F,Test
93610,9,59,M,Test
93751,7,65,U,Test
93870,24,68,F,Test
93915,5,54,U,Test
94012,16,71,F,Control
94234,7,40,U,Test
94510,9,45,M,Control
94552,23,67,M,Test
94662,9,50,F,Test
94767,6,31,U,Test
94778,8,65,U,Control
94914,21,84,M,Test
95035,9,44,M,Test
95199,5,44,U,Test
95453,6,35,U,Test
96190,7,57,U,Test
96548,14,63,F,Control
96787,21,54,F,Test
96845,4,61,U,Control
97147,15,55,M,Test
97170,16,38,M,Control
97322,5,35,U,Control
97424,8,27,U,Test
97590,20,58,F,Test
97723,15,28,M,Control
97966,9,40,M,Control
98248,6,60,U,Test
98337,4,60,U,Test
98860,8,29,U,Control
99149,12,36,F,Control
99208,17,48,M,Test
99811,13,39,F,Control
100118,10,34,M,Test
100250,15,74,F,Test
100503,8,21,M,Control
100888,7,41,U,Control
100940,15,47,U,Test
101143,9,68,M,Control
101220,6,72,U,Test
101246,6,59,M,Control
101818,13,47,F,Control
102859,7,72,U,Control
102884,6,66,F,Test
103515,18,46,F,Control
103622,4,25,U,Test
103627,11,63,M,Test
103669,5,39,M,Test
104190,5,24,U,Test
104328,8,37,M,Control
104643,11,64,M,Test
104781,10,40,M,Control
104884,28,83,M,Control
104972,15,54,M,Test
105007,9,35,F,Control
105026,15,63,F,Control
105357,23,82,F,Control
105360,5,57,U,Control
105623,10,36,U,Control
106102,5,61,U,Test
106137,8,51,F,Test
106457,9,91,M,Control
106501,30,54,F,Test
108335,4,25,U,Control
108419,8,63,U,Test
108438,6,29,U,Control
108892,4,50,U,Test
109175,4,38,U,Control
109413,21,51,M,Control
