client_id,variation,process_step,date_time
555,Test,confirm,"2017-04-15 13:00:34"
647,Test,confirm,"2017-04-12 15:47:45"
934,Test,start,"2017-04-18 02:38:52"
1028,Control,step_1,"2017-04-08 19:00:26"
1186,Control,step_2,"2017-04-08 18:05:24"
1195,Control,confirm,"2017-04-05 20:19:31"
1197,Control,confirm,"2017-04-01 17:17:59"
1368,Control,start,"2017-04-09 21:58:28"
1516,Test,step_1,"2017-04-05 15:57:36"
1643,Test,start,"2017-04-15 15:06:00"
1702,Test,confirm,"2017-04-01 11:44:04"
1755,Test,confirm,"2017-04-02 11:54:04"
1836,Test,confirm,"2017-04-05 18:53:03"
1936,Test,confirm,"2017-03-29 12:55:56"
2439,Control,start,"2017-03-23 14:59:23"
2581,Control,start,"2017-04-09 06:11:41"
2720,Test,start,"2017-04-03 16:08:23"
3572,Test,confirm,"2017-04-05 17:56:10"
3647,Control,start,"2017-04-10 12:28:09"
4369,Test,confirm,"2017-04-05 13:24:51"
4484,Test,confirm,"2017-04-05 20:52:35"
4603,Test,confirm,"2017-03-29 15:05:42"
4717,Test,start,"2017-04-23 17:22:34"
4870,Test,confirm,"2017-03-29 12:36:10"
5354,Control,confirm,"2017-04-12 20:31:31"
5845,Test,step_3,"2017-04-12 12:34:10"
6022,Test,start,"2017-04-12 21:21:47"
6150,Test,start,"2017-04-12 14:45:12"
6642,Control,confirm,"2017-04-19 12:27:58"
6904,Test,confirm,"2017-04-05 12:23:34"
6985,Control,confirm,"2017-04-16 14:24:46"
7020,Control,step_1,"2017-04-09 15:18:10"
7561,Test,start,"2017-04-17 21:27:53"
7563,Test,confirm,"2017-04-04 22:47:00"
7657,Test,confirm,"2017-04-05 12:45:11"
7723,Test,confirm,"2017-04-07 10:10:57"
8023,Test,step_1,"2017-04-13 10:20:33"
8039,Control,step_3,"2017-04-08 10:20:39"
8055,Test,confirm,"2017-04-06 10:27:49"
8101,Control,confirm,"2017-04-10 08:55:23"
8124,Control,start,"2017-04-12 11:44:38"
8610,Test,start,"2017-04-01 10:07:12"
8712,Test,step_2,"2017-04-08 13:07:43"
8820,Test,confirm,"2017-04-19 11:17:58"
9767,Control,step_3,"2017-04-26 16:36:54"
9845,Control,start,"2017-04-17 09:12:14"
9916,Test,confirm,"2017-03-30 06:09:05"
10344,Control,start,"2017-04-14 17:25:23"
10363,Test,step_1,"2017-03-15 13:27:52"
